ID,Region,Date of arrival at Safe House,Age on arrival in years,District,Religion,Type of case,Who brought her to the Safe House,Suggestion from social welfare officer,Immediate needs on arrival,Health Status,School
608,Mara,12/11/2018,11,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
609,Mara,12/2/2018,12,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
610,Mara,12/23/2018,13,Serengeti,christian,fgm,police,short term protection,Underwear,UTI,1
611,Mara,12/7/2018,14,Serengeti,christian,child marriage,police,short term protection,Counselling,UTI,1
612,Mara,12/13/2018,12,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
613,Mara,12/16/2018,13,Serengeti,christian,fgm,police,short term protection,Underwear,UTI,1
614,Mara,12/18/2018,12,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
615,Mara,12/17/2018,13,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
616,Mara,12/15/2018,11,Serengeti,muslim,fgm,police,short term protection,Counselling,STI,1
617,Mara,12/4/2018,14,Serengeti,christian,fgm,police,short term protection,Shoes,UTI,1
618,Mara,12/8/2018,12,Serengeti,christian,child marriage,police,short term protection,Counselling,UTI,1
619,Mara,12/2/2018,11,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
620,Mara,12/13/2018,14,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
621,Mara,12/20/2018,12,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
622,Mara,12/12/2018,12,Serengeti,christian,child marriage,police,short term protection,Counselling,UTI,1
624,Mara,12/21/2018,13,Serengeti,christian,other,police,short term protection,Counselling,Other Issues,1
625,Mara,12/2/2017,16,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
626,Mara,12/3/2018,15,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
627,Mara,12/1/2017,10,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
628,Mara,12/1/2018,14,Musoma,christian,fgm,volunteer,prosecution,Other,Heathy,1
629,Mara,12/2/2017,16,Tarime,christian,child marriage,police,prosecution,Other,Heathy,1
630,Mara,1/4/2019,17,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
635,Mara,12/3/2018,15,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
636,Mara,12/2/2018,18,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
637,Mara,12/3/2017,15,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
638,Mara,12/6/2018,18,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,0
639,Mara,12/2/2018,17,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
642,Mara,11/2/2018,15,Tarime,christian,child marriage,police,prosecution,Other,Heathy,1
643,Mara,12/2/2018,16,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
644,Mara,12/3/2018,18,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
645,Mara,12/4/2018,17,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,0
646,Mara,12/1/2017,16,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
647,Mara,12/2/2017,10,Butiam,christian,fgm,volunteer,prosecution,Other,Heathy,1
648,Mara,12/2/2017,13,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
649,Mara,12/2/2017,11,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
650,Mara,12/2/2017,16,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
651,Mara,12/4/2017,12,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
652,Mara,12/2/2017,10,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
