ID,Region,Date of arrival at Safe House,Age on arrival in years,District,Religion,Type of case,Who brought her to the Safe House,Suggestion from social welfare officer,Immediate needs on arrival,Health Status,School
1,Mara,2/4/2020,14,Serengeti,christian,other,government leader,reconciliation with parents,Other,Heathy,1
2,Mara,11/20/2019,18,Butiam,muslim,fgm,school teacher,short term protection,Counselling,Heathy,1
3,Mara,12/9/2018,11,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
4,Mara,12/29/2018,14,Serengeti,christian,child marriage,police,short term protection,Counselling,UTI,1
5,Mara,12/21/2018,12,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
6,Mara,12/22/2018,13,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
7,Mara,12/26/2018,12,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
8,Mara,12/21/2018,13,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
9,Mara,12/23/2018,11,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
10,Mara,12/5/2018,13,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
11,Mara,12/25/2018,11,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
12,Mara,12/28/2018,14,Serengeti,christian,child marriage,police,short term protection,Counselling,UTI,1
13,Mara,12/29/2018,12,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
14,Mara,12/25/2018,13,Serengeti,christian,child marriage,police,short term protection,Counselling,UTI,1
15,Mara,12/10/2018,12,Serengeti,christian,child marriage,police,short term protection,Counselling,UTI,1
16,Mara,12/23/2018,12,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
17,Mara,12/24/2018,11,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
18,Mara,12/11/2018,14,Serengeti,christian,child marriage,police,short term protection,Counselling,UTI,1
19,Mara,12/5/2018,14,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
20,Mara,12/12/2018,12,Serengeti,christian,violence,police,short term protection,Counselling,UTI,1
21,Mara,12/14/2018,13,Serengeti,christian,child marriage,police,short term protection,Counselling,UTI,1
22,Mara,12/6/2018,11,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
23,Mara,12/9/2018,13,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
24,Mara,12/12/2018,14,Serengeti,christian,child marriage,police,short term protection,Counselling,UTI,1
25,Mara,12/20/2018,12,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
27,Mara,12/15/2018,13,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
28,Mara,12/12/2018,13,Serengeti,christian,child marriage,police,short term protection,Counselling,UTI,1
29,Mara,12/16/2018,13,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
30,Mara,12/21/2018,12,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
31,Mara,12/13/2018,13,Serengeti,christian,child marriage,police,short term protection,Counselling,UTI,1
32,Mara,12/8/2018,14,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
33,Mara,12/4/2018,12,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
34,Mara,12/27/2018,11,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
35,Mara,12/23/2018,11,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
36,Mara,12/12/2018,13,Serengeti,christian,child marriage,police,short term protection,Counselling,UTI,1
37,Mara,12/13/2018,12,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
38,Mara,12/8/2017,12,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
39,Mara,12/28/2018,35,Tarime,christian,fgm,community member,short term protection,Counselling,Heathy,1
40,Mara,12/3/2019,14,Butiam,christian,violence,volunteer,prosecution,Counselling,Heathy,1
41,Mara,12/3/2019,14,Bunda,christian,violence,police,long term protection,Clothes,Heathy,0
42,Mara,2/5/2020,11,Serengeti,christian,fgm,volunteer,prosecution,Clothes,Heathy,1
43,Mara,2/20/2020,16,Butiam,christian,rape,police,prosecution,Clothes,STI,0
44,Mara,12/2/2017,13,Tarime,christian,fgm,volunteer,prosecution,Clothes,Heathy,0
46,Mara,2/6/2020,17,Tarime,christian,fgm,volunteer,short term protection,Clothes,Heathy,0
47,Mara,1/3/2020,17,Butiam,christian,child marriage,police,long term protection,Clothes,Heathy,1
48,Mara,12/3/2019,14,Tarime,christian,fgm,volunteer,long term protection,Clothes,Heathy,1
50,Mara,4/11/2019,10,Rorya,christian,fgm,family member,long term protection,Counselling,Heathy,1
51,Mara,10/10/2019,12,Bunda,christian,violence,police,long term protection,Counselling,Heathy,0
52,Mara,12/3/2019,14,Tarime,christian,fgm,volunteer,long term protection,Clothes,Heathy,1
53,Mara,12/3/2019,15,Tarime,christian,fgm,volunteer,long term protection,Clothes,Heathy,1
54,Mara,12/7/2017,14,Serengeti,christian,child marriage,volunteer,long term protection,Counselling,Heathy,1
55,Mara,12/6/2017,12,Serengeti,christian,fgm,volunteer,long term protection,Counselling,Heathy,1
56,Mara,7/17/2019,9,Butiam,christian,rape,police,long term protection,Counselling,UTI,1
57,Mara,12/18/2017,14,Tarime,christian,fgm,volunteer,long term protection,Underwear,Heathy,1
58,Mara,11/3/2019,15,Tarime,christian,fgm,volunteer,long term protection,Clothes,Heathy,1
59,Mara,6/14/2019,17,Serengeti,christian,child marriage,came herself,short term protection,Underwear,Heathy,1
60,Mara,12/6/2017,12,Serengeti,christian,fgm,volunteer,long term protection,Counselling,Heathy,1
61,Mara,12/5/2017,14,Serengeti,christian,fgm,volunteer,long term protection,Clothes,Heathy,1
62,Mara,9/14/2017,10,Rorya,christian,child marriage,community member,long term protection,Counselling,Heathy,1
63,Mara,12/5/2017,12,Rorya,christian,fgm,community member,long term protection,Shoes,Heathy,1
64,Mara,12/17/2019,14,Tarime,christian,fgm,volunteer,long term protection,Clothes,Heathy,1
65,Mara,2/2/2018,16,Butiam,christian,child marriage,volunteer,long term protection,Counselling,Heathy,1
66,Mara,6/6/2018,8,Rorya,christian,fgm,religious leader,long term protection,Counselling,Heathy,1
67,Mara,12/4/2018,15,Tarime,christian,fgm,volunteer,long term protection,Clothes,Heathy,1
68,Mara,2/18/2020,13,Tarime,christian,fgm,volunteer,long term protection,Counselling,Heathy,1
69,Mara,12/18/2017,13,Tarime,christian,fgm,volunteer,long term protection,Counselling,Heathy,1
70,Mara,2/16/2018,15,Butiam,christian,child marriage,police,long term protection,Clothes,Heathy,1
71,Mara,12/1/2018,13,Butiam,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
72,Mara,11/15/2018,13,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
73,Mara,12/3/2019,16,Rorya,christian,fgm,volunteer,prosecution,Other,Other Issues,1
74,Mara,12/3/2019,13,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
75,Mara,12/3/2019,18,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
76,Mara,12/21/2019,12,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
77,Mara,11/11/2017,15,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
82,Mara,7/10/2019,15,Serengeti,christian,child marriage,police,short term protection,Counselling,Other Issues,0
83,Mara,1/10/2018,12,Serengeti,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
84,Mara,1/2/2020,16,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,0
85,Mara,11/10/2018,13,Serengeti,christian,fgm,police,reconciliation with parents,Counselling,Other Issues,1
86,Mara,2/23/2019,16,Serengeti,christian,fgm,religious leader,reconciliation with parents,Counselling,Other Issues,1
87,Mara,1/16/2019,14,Serengeti,christian,fgm,came herself,reconciliation with parents,Counselling,UTI,1
88,Mara,12/17/2019,13,Serengeti,christian,fgm,police,reconciliation with parents,Counselling,UTI,1
89,Mara,2/4/2020,14,Serengeti,christian,fgm,social welfare officer,reconciliation with parents,Counselling,UTI,1
90,Mara,1/20/2020,16,Serengeti,christian,fgm,police,reconciliation with parents,Counselling,UTI,1
91,Mara,10/3/2019,10,Serengeti,christian,violence,police,reconciliation with parents,Counselling,UTI,1
92,Mara,3/3/2019,5,Serengeti,christian,violence,police,long term protection,Counselling,UTI,1
96,Mara,11/16/2018,14,Serengeti,christian,child marriage,police,short term protection,Counselling,Heathy,0
97,Mara,1/2/2020,16,Serengeti,christian,child marriage,police,short term protection,Counselling,Heathy,0
99,Mara,11/4/2019,11,Serengeti,christian,violence,police,short term protection,Counselling,Heathy,1
100,Mara,5/15/2019,5,Serengeti,christian,violence,police,short term protection,Counselling,Heathy,1
101,Arusha,11/1/2017,16,Ngorongoro,christian,fgm,religious leader,short term protection,Counselling,UTI,1
102,Mara,3/29/2019,14,Serengeti,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
105,Mara,10/4/2019,14,Serengeti,christian,child marriage,police,short term protection,Counselling,UTI,1
110,Mara,9/25/2018,15,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
111,Mara,9/16/2018,17,Serengeti,christian,fgm,police,reconciliation with parents,Underwear,Heathy,1
112,Mara,9/21/2018,14,Serengeti,paganism,fgm,police,reconciliation with parents,Counselling,UTI,1
114,Mara,2/13/2020,8,Serengeti,christian,fgm,police,short term protection,Underwear,Other Issues,1
119,Mara,9/5/2019,24,Serengeti,christian,violence,police,short term protection,Counselling,Other Issues,0
121,Mara,11/25/2017,7,Butiam,christian,other,police,short term protection,Underwear,UTI,1
122,Mara,11/25/2017,8,Rorya,paganism,other,police,short term protection,Underwear,UTI,1
124,Mara,11/25/2017,10,Rorya,christian,other,police,short term protection,Underwear,UTI,1
126,Mara,11/20/2017,14,Rorya,christian,fgm,police,short term protection,Underwear,UTI,1
128,Mara,11/20/2017,13,Rorya,paganism,fgm,police,short term protection,Shoes,UTI,1
129,Mara,11/20/2017,12,Rorya,christian,fgm,police,short term protection,Underwear,UTI,1
130,Mara,11/20/2017,10,Rorya,christian,fgm,police,short term protection,Underwear,UTI,1
131,Mara,11/17/2017,12,Rorya,christian,child marriage,police,short term protection,Underwear,Heathy,0
132,Mara,9/25/2018,9,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
133,Mara,9/29/2018,11,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
134,Mara,11/5/2018,14,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
135,Mara,9/16/2018,12,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
136,Mara,10/3/2018,14,Bunda,christian,other,police,short term protection,Counselling,Heathy,1
137,Mara,9/25/2018,10,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
138,Mara,9/25/2018,13,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
139,Mara,11/10/2017,15,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,0
142,Mara,9/14/2018,15,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
143,Mara,9/14/2018,14,Serengeti,christian,fgm,police,short term protection,Counselling,Other Issues,1
144,Mara,9/14/2018,16,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
145,Mara,6/1/2018,6,Bunda,christian,other,police,short term protection,Counselling,Heathy,1
146,Arusha,6/16/2018,16,Ngorongoro,christian,fgm,police,short term protection,Counselling,Heathy,1
147,Mwanza,6/18/2018,10,Ilemela,muslim,other,police,short term protection,Counselling,Heathy,1
148,Mara,6/18/2018,14,Serengeti,christian,child marriage,police,short term protection,Counselling,Heathy,0
149,Mara,11/20/2017,4,Rorya,christian,fgm,police,short term protection,Counselling,Heathy,0
150,Mara,10/25/2019,16,Serengeti,christian,other,police,short term protection,Counselling,Heathy,1
151,Mara,2/14/2019,16,Serengeti,christian,violence,police,short term protection,Counselling,Heathy,1
152,Mara,1/9/2019,14,Serengeti,christian,child marriage,police,short term protection,Counselling,Heathy,0
153,Mara,1/22/2019,10,Serengeti,christian,violence,police,short term protection,Counselling,Heathy,1
154,Mara,11/20/2017,17,Rorya,christian,child marriage,police,short term protection,Counselling,Heathy,0
155,Mara,11/20/2017,14,Rorya,christian,fgm,police,short term protection,Counselling,UTI,1
157,Mara,11/7/2017,17,Serengeti,christian,child marriage,family member,short term protection,Counselling,UTI,1
166,Mara,11/25/2017,8,Rorya,christian,child marriage,other,short term protection,Other,UTI,0
168,Mara,12/2/2019,30,Serengeti,muslim,violence,police,short term protection,Counselling,UTI,0
169,Mara,1/22/2018,16,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,0
173,Mara,11/10/2019,20,Serengeti,christian,violence,police,short term protection,Counselling,UTI,0
174,Mara,9/19/2018,14,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
175,Mara,1/7/2019,13,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
176,Mara,9/21/2018,12,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
177,Mara,12/5/2018,16,Serengeti,christian,child marriage,social welfare officer,short term protection,Counselling,Other Issues,1
178,Mara,9/11/2019,10,Serengeti,christian,violence,volunteer,short term protection,Counselling,UTI,1
179,Mara,3/28/2019,12,Serengeti,christian,violence,police,short term protection,Counselling,UTI,1
180,Mara,3/28/2019,10,Serengeti,christian,violence,police,short term protection,Counselling,UTI,1
181,Mara,12/5/2019,8,Serengeti,christian,rape,police,short term protection,Counselling,UTI,1
182,Mara,11/20/2017,14,Rorya,christian,fgm,police,short term protection,Other,Other Issues,1
183,Mara,11/17/2017,9,Rorya,christian,fgm,police,short term protection,Other,UTI,1
184,Mara,11/20/2017,14,Rorya,christian,fgm,police,short term protection,Counselling,UTI,1
185,Mara,11/20/2017,10,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,0
186,Mara,1/16/2018,16,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
187,Mara,2/10/2018,15,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,0
188,Arusha,6/16/2018,14,Ngorongoro,christian,fgm,religious leader,short term protection,Counselling,UTI,1
189,Mara,9/16/2018,14,Serengeti,christian,fgm,police,short term protection,Other,UTI,1
190,Mara,12/4/2018,12,Serengeti,christian,fgm,police,short term protection,Other,Heathy,1
191,Mara,9/21/2018,12,Serengeti,christian,fgm,police,short term protection,Other,Heathy,0
192,Mara,12/3/2018,16,Serengeti,christian,fgm,police,short term protection,Other,Heathy,1
193,Mara,11/20/2018,16,Serengeti,christian,violence,police,short term protection,Other,Heathy,1
194,Mara,12/4/2018,14,Serengeti,christian,fgm,police,short term protection,Other,Heathy,1
195,Mara,12/30/2019,11,Serengeti,christian,violence,police,short term protection,Counselling,Heathy,1
196,Mara,12/3/2018,15,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
197,Mara,2/3/2019,14,Serengeti,christian,child marriage,police,long term protection,Counselling,UTI,1
198,Mara,7/28/2019,14,Serengeti,christian,child marriage,police,short term protection,Counselling,UTI,0
199,Mara,9/19/2018,12,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
200,Mara,11/6/2017,16,Rorya,christian,fgm,volunteer,long term protection,Counselling,UTI,1
201,Mara,4/12/2019,14,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
203,Mara,1/23/2020,14,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,0
204,Mara,11/1/2019,14,Serengeti,christian,child marriage,police,short term protection,Counselling,UTI,1
205,Mara,6/1/2019,14,Serengeti,christian,fgm,school teacher,short term protection,Counselling,UTI,1
207,Mara,9/11/2018,15,Serengeti,christian,rape,police,long term protection,Counselling,Pregnant,1
208,Mara,10/30/2017,15,Serengeti,christian,fgm,police,long term protection,Counselling,UTI,1
209,Arusha,11/8/2017,16,Ngorongoro,christian,fgm,religious leader,long term protection,Shoes,UTI,1
210,Mara,10/30/2018,14,Serengeti,christian,fgm,police,long term protection,Counselling,UTI,1
211,Mara,10/8/2018,15,Serengeti,christian,fgm,police,long term protection,Counselling,UTI,1
212,Mara,2/26/2019,16,Serengeti,christian,child marriage,police,short term protection,Counselling,UTI,0
213,Mara,12/3/2018,14,Serengeti,christian,fgm,police,long term protection,Counselling,UTI,1
214,Mara,10/15/2017,12,Serengeti,christian,fgm,police,long term protection,Counselling,Pregnant,1
215,Arusha,11/8/2017,17,Ngorongoro,christian,child marriage,police,short term protection,Counselling,UTI,1
217,Mara,11/20/2017,13,Rorya,christian,fgm,police,short term protection,Counselling,UTI,1
218,Mara,11/17/2017,12,Rorya,christian,fgm,police,short term protection,Counselling,UTI,1
219,Mara,11/25/2017,12,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
220,Mara,11/20/2017,11,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
221,Mara,12/4/2018,13,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
222,Mara,12/4/2018,12,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
223,Mara,12/4/2018,12,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
224,Mara,12/3/2018,15,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
225,Mara,12/1/2018,16,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
226,Mara,11/29/2018,14,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
227,Mara,12/7/2018,13,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
228,Mara,12/7/2018,12,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
229,Mara,12/4/2018,11,Serengeti,christian,fgm,police,short term protection,Counselling,Other Issues,1
230,Mara,12/4/2018,13,Serengeti,muslim,fgm,police,short term protection,Counselling,UTI,1
231,Mara,12/7/2018,10,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
232,Mara,12/7/2018,12,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
233,Mara,12/7/2018,13,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
234,Mara,12/7/2018,13,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
235,Mara,11/19/2018,10,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
236,Mara,12/7/2018,13,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
237,Mara,12/7/2018,14,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
238,Mara,12/7/2018,14,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
239,Mara,12/7/2018,11,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
240,Mara,12/14/2018,14,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,0
241,Mara,12/7/2018,14,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
242,Mara,12/7/2018,14,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
244,Mara,12/1/2018,13,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
245,Mara,11/24/2018,15,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
246,Mara,12/7/2018,14,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
247,Mara,12/7/2018,12,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
248,Mara,2/14/2020,19,Serengeti,christian,fgm,religious leader,reconciliation with parents,Counselling,Heathy,1
249,Mara,9/11/2018,14,Tarime,christian,fgm,volunteer,long term protection,Counselling,Heathy,1
250,Mara,12/5/2017,13,Serengeti,christian,fgm,volunteer,long term protection,Counselling,Heathy,1
251,Mara,12/5/2017,12,Rorya,christian,child marriage,religious leader,long term protection,Counselling,Heathy,1
252,Mara,11/5/2017,12,Rorya,christian,fgm,religious leader,long term protection,Counselling,Heathy,1
253,Mara,2/8/2018,12,Serengeti,christian,fgm,volunteer,long term protection,Clothes,Heathy,1
254,Mara,11/19/2018,14,Tarime,christian,fgm,volunteer,long term protection,Counselling,Heathy,1
255,Mara,12/11/2017,14,Butiam,christian,fgm,volunteer,long term protection,Counselling,Heathy,1
256,Mara,12/11/2017,14,Butiam,christian,fgm,volunteer,long term protection,Counselling,Heathy,1
257,Mara,11/4/2018,16,Tarime,christian,fgm,volunteer,long term protection,Other,Heathy,1
258,Mara,12/7/2018,11,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
259,Mara,12/7/2018,14,Serengeti,christian,fgm,police,short term protection,Counselling,Pregnant,1
260,Mara,12/8/2018,11,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
261,Mara,12/7/2018,12,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
262,Mara,12/7/2018,12,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
263,Mara,12/7/2018,12,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
264,Mara,12/7/2018,14,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
265,Mara,5/11/2018,10,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,0
266,Mara,5/11/2018,29,Serengeti,paganism,fgm,police,short term protection,Counselling,UTI,0
267,Mara,12/7/2018,12,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
268,Mara,12/7/2018,12,Serengeti,christian,fgm,social welfare officer,short term protection,Counselling,UTI,1
269,Mara,12/7/2018,12,Serengeti,christian,fgm,police,reconciliation with parents,Counselling,UTI,1
270,Mara,12/7/2018,12,Serengeti,christian,fgm,police,reconciliation with parents,Counselling,Heathy,1
271,Mara,12/7/2018,12,Serengeti,christian,fgm,police,reconciliation with parents,Counselling,Heathy,1
272,Mara,12/7/2018,13,Serengeti,christian,fgm,police,reconciliation with parents,Other,UTI,1
273,Mara,12/8/2018,14,Serengeti,christian,fgm,police,reconciliation with parents,Counselling,Heathy,1
274,Mara,12/24/2019,15,Serengeti,christian,violence,police,short term protection,Counselling,Heathy,1
275,Mara,11/17/2017,16,Rorya,christian,fgm,police,short term protection,Counselling,UTI,1
276,Mara,10/28/2017,13,Serengeti,christian,fgm,police,reconciliation with parents,Counselling,Heathy,1
277,Mara,9/25/2018,13,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
278,Mara,12/7/2018,14,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
280,Mara,12/7/2018,11,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
281,Mara,11/8/2018,12,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
282,Mara,12/7/2018,12,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
283,Mara,12/7/2018,12,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
284,Mara,12/24/2018,14,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
285,Mara,12/7/2018,3,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
290,Mara,12/7/2018,14,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
295,Mara,12/7/2018,13,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
304,Mara,5/4/2018,2,Butiam,christian,violence,police,short term protection,Counselling,Heathy,0
305,Mara,6/10/2019,13,Serengeti,christian,violence,social welfare officer,short term protection,Counselling,Heathy,1
306,Mara,6/10/2019,10,Serengeti,christian,violence,social welfare officer,short term protection,Counselling,UTI,1
307,Mara,12/7/2017,14,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
308,Mara,11/8/2018,14,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
309,Mara,9/15/2018,16,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,0
311,Mara,10/13/2018,16,Serengeti,christian,fgm,volunteer,short term protection,Counselling,UTI,1
312,Mara,11/1/2018,15,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,0
313,Mara,10/6/2018,13,Serengeti,christian,fgm,police,short term protection,Shoes,UTI,0
314,Mara,1/15/2018,12,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
315,Mara,7/12/2018,14,Serengeti,christian,fgm,police,short term protection,Shoes,UTI,1
316,Mara,3/6/2018,15,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,0
317,Mara,11/23/2017,13,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
318,Mara,12/5/2017,15,Serengeti,christian,fgm,police,short term protection,Shoes,UTI,1
319,Mara,12/5/2017,15,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
320,Mara,12/5/2017,16,Serengeti,christian,child marriage,police,short term protection,Underwear,UTI,1
321,Mara,12/6/2017,15,Serengeti,christian,fgm,police,short term protection,Underwear,Heathy,1
322,Mara,12/7/2018,12,Serengeti,christian,fgm,social welfare officer,short term protection,Counselling,UTI,1
323,Mara,1/10/2019,13,Serengeti,christian,fgm,social welfare officer,short term protection,Counselling,UTI,1
325,Mara,12/8/2018,15,Serengeti,christian,child marriage,police,short term protection,Counselling,UTI,1
326,Mara,10/4/2018,12,Serengeti,christian,fgm,social welfare officer,short term protection,Counselling,UTI,1
327,Mara,11/7/2018,14,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
330,Mara,12/10/2018,10,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
331,Mara,12/5/2018,13,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
332,Mara,1/8/2019,11,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
333,Mara,1/8/2019,13,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
334,Mara,2/15/2019,12,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
335,Mara,1/22/2019,16,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
336,Mara,1/20/2019,16,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,0
337,Mara,11/26/2018,12,Tarime,christian,fgm,volunteer,long term protection,Counselling,Heathy,1
338,Mara,12/28/2017,14,Tarime,christian,fgm,volunteer,long term protection,Counselling,Heathy,0
339,Mara,12/23/2017,9,Butiam,christian,rape,community member,long term protection,Counselling,Heathy,1
340,Mara,11/22/2018,13,Tarime,christian,fgm,volunteer,long term protection,Counselling,Heathy,1
341,Mara,12/15/2017,7,Rorya,christian,rape,volunteer,long term protection,Counselling,Heathy,1
342,Mara,11/29/2017,6,Butiam,christian,rape,community member,long term protection,Counselling,Heathy,1
343,Mara,9/11/2018,14,Serengeti,christian,rape,government leader,short term protection,Counselling,Heathy,1
344,Mara,11/5/2018,14,Serengeti,christian,fgm,family member,short term protection,Counselling,Heathy,1
345,Mara,9/29/2018,14,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
346,Mara,9/9/2018,14,Serengeti,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
347,Mara,11/15/2018,14,Serengeti,christian,fgm,school teacher,short term protection,Counselling,Heathy,1
348,Mara,11/20/2017,14,Rorya,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
349,Mara,11/20/2017,15,Rorya,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
350,Mara,10/8/2018,14,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
351,Mara,9/24/2018,14,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
352,Mara,11/6/2017,15,Rorya,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
353,Mara,12/7/2018,12,Serengeti,christian,fgm,social welfare officer,short term protection,Counselling,UTI,1
355,Mara,12/7/2018,13,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
357,Mara,12/7/2018,14,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
358,Mara,12/14/2018,13,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
359,Mara,12/8/2018,13,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
360,Mara,12/8/2018,13,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
361,Mara,12/8/2018,14,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
363,Mara,12/7/2018,13,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
